Category,CategoryOrder,Display,Speak,Image,CategoryColor,TileColor,TileOrder,CategoryImage,BoardName,BoardColor,BoardImage
Needs,2,Music,I want to listen to music,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/listen to music_2.png.varianted-skin.png,#fe4343,,10,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I need help.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Feelings,3,Happy,I'm happy,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/happy.png.varianted-skin.png,#ffd93d,,1,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/feelings.png.varianted-skin.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Feelings,3,Sad,I'm sad,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/sad.png.varianted-skin.png,#ffd93d,,2,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/feelings.png.varianted-skin.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Feelings,3,Frustrated,I'm frustrated,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to get angry with_1.png.varianted-skin.png,#ffd93d,,3,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/feelings.png.varianted-skin.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Feelings,3,Tired,I'm tired,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/tired.png.varianted-skin.png,#ffd93d,,4,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/feelings.png.varianted-skin.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Feelings,3,Excited,I'm excited,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/excited_927_g.svg,#ffd93d,,5,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/feelings.png.varianted-skin.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Feelings,3,Okay,I'm okay,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/okay_847_g.svg,#ffd93d,,6,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/feelings.png.varianted-skin.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Feelings,3,Angry,I'm angry,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/angry_6.png,#ffd93d,,7,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/feelings.png.varianted-skin.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Feelings,3,In pain,I'm in pain,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/thread.png,#ffd93d,,8,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/feelings.png.varianted-skin.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Feelings,3,Bored,I'm bored,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/boring_3.png,#ffd93d,,9,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/feelings.png.varianted-skin.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Feelings,3,Calm,I'm calm,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/calm.png,#ffd93d,,10,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/feelings.png.varianted-skin.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
People,4,Mom,Mom,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/mother.png.varianted-skin.png,#b37feb,,1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/People-32d569b31d.svg,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
People,4,Dad,Dad,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/dad.png.varianted-skin.png,#b37feb,,2,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/People-32d569b31d.svg,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
People,4,Sister,Sister,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/little girl.png.varianted-skin.png,#b37feb,,3,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/People-32d569b31d.svg,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
People,4,Brother,Brother,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/brother.png.varianted-skin.png,#b37feb,,4,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/People-32d569b31d.svg,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
People,4,Friend,Friend,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/friend_2.png.varianted-skin.png,#b37feb,,5,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/People-32d569b31d.svg,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
People,4,Family,Family,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Family-103603dd06.svg,#b37feb,,6,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/People-32d569b31d.svg,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
People,4,Caregiver,Caregiver,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/caregiver.png,#b37feb,,7,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/People-32d569b31d.svg,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
People,4,Nurse,Nurse,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Nurse-8169964372.svg,#b37feb,,8,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/People-32d569b31d.svg,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
People,4,Doctor,Doctor,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/doctor_3.png.varianted-skin.png,#b37feb,,9,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/People-32d569b31d.svg,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
People,4,Visitor,Visitor,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/vice.svg,#b37feb,,10,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/People-32d569b31d.svg,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Pronouns,5,i,I,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I.png.varianted-skin.png,#9b59b6,,1,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Pronouns,5,me,me,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/me.png,#9b59b6,,2,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Pronouns,5,my,my,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/my (plural).png,#9b59b6,,3,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Pronouns,5,mine,mine,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/mine.png,#9b59b6,,4,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Pronouns,5,you,you,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/you.png.varianted-skin.png,#9b59b6,,5,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Pronouns,5,your,your,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/your.png,#9b59b6,,6,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Pronouns,5,yours,yours,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/yours.png,#9b59b6,,7,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
